time,close,high,low,open,volumefrom,volumeto,mid
1582984800,8645.88,8678.25,8606.31,8676.27,954.5,8238841.34,8642.279999999999
1582988400,8693.73,8708.76,8619.73,8645.88,785.84,6824127.12,8664.244999999999
1582992000,8638.05,8702.5,8630.15,8693.73,761.92,6629631.43,8666.325
1582995600,8701.21,8702.4,8623.94,8638.05,951.78,8259525.21,8663.17
1582999200,8695.56,8714.49,8666.65,8701.21,556.5,4862181.37,8690.57
1583002800,8711.64,8713.54,8662.68,8695.56,782.17,6806702.43,8688.11
1583006400,8685.19,8714.15,8663.96,8711.64,718.09,6255929.22,8689.055
1583010000,8646.9,8697.86,8634.16,8685.19,660.18,5729165.85,8666.01
1583013600,8656.28,8679.27,8624.55,8646.9,573.54,4952106.44,8651.91
1583017200,8545.45,8684.65,8545.32,8656.28,1516.2,13047823.76,8614.985
1583020800,8567.52,8650.38,8537.71,8545.45,1285.4,11052750.57,8594.044999999998
1583024400,8658.16,8665.72,8548.15,8567.52,1785.11,15350819.32,8606.935
1583028000,8653.65,8706.51,8652.13,8658.16,730.7,6349204.42,8679.32
1583031600,8624.22,8689.92,8622.88,8653.65,624.07,5419378.12,8656.4
1583035200,8602.68,8661.88,8583.11,8624.22,785.83,6775107.96,8622.494999999999
1583038800,8607.62,8617.88,8566.49,8602.68,758.22,6530969.73,8592.185
1583042400,8585.07,8621.68,8552.64,8607.62,661.09,5677466.17,8587.16
1583046000,8562.39,8585.34,8538.6,8585.07,677.55,5823079.16,8561.970000000001
1583049600,8565.47,8620.27,8547.46,8562.39,571.14,4903605.41,8583.865
1583053200,8560.43,8619.54,8554.29,8565.47,586.31,5038838.55,8586.915
1583056800,8602.03,8617.86,8559.84,8560.43,409.38,3530002.1,8588.85
1583060400,8673.02,8678.68,8571.25,8602.03,747.4,6470812.07,8624.965
1583064000,8594.8,8776.71,8589.67,8673.02,2507.0,21793444.21,8683.189999999999
1583067600,8638.99,8644.95,8571.29,8594.8,1037.67,8921803.24,8608.12
1583071200,8584.28,8650.74,8582.41,8638.99,576.88,4986722.06,8616.575
1583074800,8592.54,8628.68,8563.84,8584.28,726.24,6244441.52,8596.26
1583078400,8534.29,8604.98,8477.18,8592.54,2845.66,24227242.85,8541.08
1583082000,8527.48,8538.16,8484.82,8534.29,1192.72,10162884.05,8511.49
1583085600,8476.65,8527.48,8476.64,8527.48,1101.13,9364250.18,8502.06
1583089200,8558.64,8576.62,8443.57,8476.65,2153.54,18292155.84,8510.095000000001
1583092800,8511.41,8579.38,8503.18,8558.64,991.58,8474768.8,8541.279999999999
1583096400,8526.32,8552.79,8481.7,8511.41,1124.6,9577238.16,8517.245
