time,close,high,low,open,volumefrom,volumeto,mid
1582120800,77.19,77.46,76.51,76.56,5023.95,387898.39,76.985
1582124400,77.47,77.7,77.05,77.19,7010.28,542830.45,77.375
1582128000,77.89,78.17,77.25,77.47,11453.46,892137.67,77.71000000000001
1582131600,77.54,79.6,77.24,77.89,49177.48,3861159.58,78.41999999999999
1582135200,77.56,77.63,76.81,77.54,17983.72,1388406.95,77.22
1582138800,76.68,78.01,76.64,77.56,22057.89,1705752.48,77.325
1582142400,76.32,76.84,75.33,76.68,39936.22,3038395.42,76.08500000000001
1582146000,70.86,76.34,67.92,76.32,123231.69,8837431.62,72.13
1582149600,72.42,73.35,69.63,70.86,55007.09,3930014.94,71.49
1582153200,70.69,72.47,70.38,72.42,25513.28,1821372.26,71.425
1582156800,71.89,72.34,70.22,70.69,23174.34,1659171.22,71.28
1582160400,71.55,71.97,71.33,71.89,14454.68,1035022.02,71.65
1582164000,71.16,71.6,70.25,71.55,20545.01,1456742.21,70.925
1582167600,70.99,71.52,70.88,71.16,11583.64,824189.29,71.19999999999999
1582171200,71.07,71.43,70.65,70.99,9297.02,660634.83,71.04
1582174800,70.37,71.21,69.48,71.07,22460.56,1578381.8,70.345
1582178400,71.06,71.06,70.13,70.37,6740.14,475589.74,70.595
1582182000,70.8,71.3,70.57,71.06,6393.68,453588.74,70.935
1582185600,70.23,70.86,69.33,70.8,10717.67,751562.39,70.095
1582189200,70.39,70.53,69.48,70.23,5704.56,399721.06,70.005
1582192800,70.24,70.51,69.95,70.39,4613.81,324486.99,70.23
1582196400,69.16,70.3,68.68,70.24,11674.97,809270.89,69.49000000000001
1582200000,68.52,69.58,67.91,69.16,19732.52,1357160.4,68.745
1582203600,69.5,69.8,67.96,68.52,19252.62,1323263.46,68.88
1582207200,69.61,70.2,69.02,69.5,19348.29,1350881.88,69.61
1582210800,69.16,69.79,68.99,69.61,10988.41,762364.3,69.39
1582214400,69.6,70.52,66.24,69.16,73071.05,4973200.77,68.38
1582218000,68.43,69.88,67.39,69.6,34808.03,2382214.23,68.63499999999999
1582221600,67.84,68.53,67.78,68.43,16580.13,1129454.43,68.155
1582225200,68.15,68.56,67.81,67.84,6878.21,469216.67,68.185
1582228800,68.55,68.57,68.01,68.15,8591.03,587480.7,68.28999999999999
1582232400,69.19,69.25,68.28,68.55,14289.37,981894.38,68.765
1582236000,69.95,70.32,69.19,69.19,25037.41,1749640.54,69.755
1582239600,69.55,70.52,69.4,69.95,25127.39,1758293.52,69.96000000000001
1582243200,69.44,69.57,68.74,69.55,9329.23,645437.41,69.155
