Kategorie: Alle Kategorien

Land,Bitcoin: (29.02.20 bis 20.05.20)
Nigeria,100
Anguilla,
St. Kitts und Nevis,
Benin,
Liechtenstein,
Kaimaninseln,
Österreich,51
Schweiz,48
St. Martin,
Südafrika,40
Namibia,
Kamerun,
Slowenien,38
Ghana,38
Deutschland,37
Curaçao,
Bermuda,
St. Barthélemy,
Färöer,
Andorra,
Zypern,33
Niederlande,33
Burkina Faso,
Malta,
Togo,
Papua-Neuguinea,
Luxemburg,
St. Helena,
Botsuana,
Gibraltar,
Eswatini,
Kuba,
Guam,
Irland,28
Kenia,26
Äquatorialguinea,
Isle of Man,
"Bonaire, Sint Eustatius und Saba",
Côte d’Ivoire,
Madagaskar,
Estland,
Palau,
Australien,25
Singapur,25
San Marino,
Lesotho,
Kosovo,
Spanien,23
Burundi,
Kanada,23
Belgien,23
Neukaledonien,
Tschechien,23
Türkei,23
Simbabwe,
Sint Maarten,
Jersey,
Antigua und Barbuda,
Venezuela,22
Französisch-Guayana,
Vereinigte Arabische Emirate,22
Aruba,
Mayotte,
Vereinigtes Königreich,21
Neuseeland,21
Island,
Nördliche Marianen,
Slowakei,20
Nordmazedonien,
Gambia,
Salomonen,
Äthiopien,
Philippinen,18
Vereinigte Staaten,18
Réunion,
Bahamas,
Rumänien,17
Brasilien,17
Barbados,
Panama,
St. Vincent und die Grenadinen,
Afghanistan,
Pakistan,16
Kroatien,16
Portugal,16
Guadeloupe,
Trinidad und Tobago,
Uganda,
Amerikanische Jungferninseln,
Laos,
Dschibuti,
Kolumbien,15
Bahrain,
Grönland,
Turks- und Caicosinseln,
Malaysia,15
El Salvador,
Sambia,
Kongo-Brazzaville,
Litauen,15
Frankreich,15
Brunei Darussalam,
Senegal,
Französisch-Polynesien,
Grenada,
Südsudan,
Martinique,
Schweden,14
Britische Jungferninseln,
Uruguay,
Niger,
Seychellen,
Finnland,14
Albanien,
Italien,14
Norwegen,14
Westsahara,
Hongkong,14
Lettland,
China,
Guernsey,
Polen,13
Katar,
Bulgarien,13
Vanuatu,
Malediven,
Argentinien,12
Tansania,
Libanon,
Nepal,
Georgien,
Somalia,
Samoa,
Dominica,
Mongolei,
Peru,11
Dominikanische Republik,
Jamaika,
Sri Lanka,
Vietnam,11
Griechenland,10
Dänemark,10
Suriname,
Kambodscha,
Mosambik,
Mauritius,
Tunesien,
Kuwait,
Ruanda,
Marokko,9
Mexiko,9
Kongo-Kinshasa,
Ungarn,9
Indien,9
Ecuador,9
Malawi,
Costa Rica,
Bhutan,
Israel,9
Haiti,
Tschad,
Armenien,
Fidschi,
St. Lucia,
Mauretanien,
Guatemala,
Serbien,8
Cabo Verde,
Republik Moldau,
Bangladesch,8
Angola,
Paraguay,
Aserbaidschan,
Gabun,
Macau,
Chile,7
Myanmar,
Iran,7
Bosnien und Herzegowina,
Bolivien,
Guyana,
Oman,
Honduras,
Ålandinseln,
Indonesien,6
Thailand,6
Montenegro,
Puerto Rico,
Nicaragua,
Mali,
Jordanien,
Sierra Leone,
Algerien,
Usbekistan,
Saudi-Arabien,5
Südkorea,5
Ägypten,5
Timor-Leste,
Turkmenistan,
Belize,
Syrien,
Palästina,
Ukraine,3
Guinea,
Liberia,
Russland,3
Sudan,
Libyen,
Tadschikistan,
Jemen,
Taiwan,2
Belarus,
Irak,
Kirgisistan,
Kasachstan,
Japan,1
Spitzbergen und Jan Mayen,
Montserrat,
São Tomé und Príncipe,
Mikronesien,
Guinea-Bissau,
Amerikanisch-Samoa,
Antarktis,
Französische Süd- und Antarktisgebiete,
Bouvetinsel,
Zentralafrikanische Republik,
Kokosinseln,
Cookinseln,
Komoren,
Weihnachtsinsel,
Eritrea,
Falklandinseln (Malwinen),
Heard und McDonaldinseln,
Britisches Territorium im Indischen Ozean,
Kiribati,
Monaco,
Marshallinseln,
Norfolkinsel,
Niue,
Nauru,
Pitcairninseln,
Nordkorea,
Südgeorgien und die Südlichen Sandwichinseln,
St. Pierre und Miquelon,
Tokelau,
Tonga,
Tuvalu,
Amerikanische Überseeinseln,
Vatikanstadt,
Wallis und Futuna,
